Bill_no.,Status
"('Initiating a State Employment First Policy to facilitate integrated employment of disabled persons',)"
"('Relating to legalizing cannabis production, sales and adult consumption',)"
"('Including three types of cancer for which rebuttable presumption of injury from employment exists for firefighters',)"
"('Reestablishing prevailing wages for certain state government contracts',)"
"('Removing the requirement for contractors to file payroll information on public improvement construction projects',)"
"('Relating to pecuniary interests of county and district officers, teachers and school officials in contracts',)"
"('West Virginia Contractor Licensing Act',)"
"('Limiting the maximum number of appointees to certain county and municipal bodies',)"
"('Requiring a warning light to be erected on certain roads to warn of a traffic light ahead',)"
"('Clarifying that a vehicle may not be backed into a public street or highway unless it does not interfere with other traffic',)"
"(""Including Family Court Judges in the Judges' Retirement System"",)"
"('Repealing the soft drink tax',)"
"('Establishing that shared legal and physical custody of a child in cases of divorce is presumed to be in the best interests of the child',)"
"('Moving authority for the West Virginia veterans service decoration and West Virginia Service Cross to the Division of Veterans Affairs',)"
"('Changing the school aid formula allowances for instructional technology and for AP and dual credit courses',)"
"('Creating a tax credit for hiring an ex-felon',)"
"('Relating to governmental websites',)"
"('Relating to vacancies in the office of county commissioner',)"
"('Creating the Business PROMISE+ Scholarship',)"
"('Prescribing methods of support for families of veterans to attend funeral services',)"
"('Relating to death penalty for first degree murder',)"
"('Requiring prescriptions be made by electronic means',)"
"('Ensuring that legal or biological parents have equal access to any and all copies of birth registry forms',)"
"('Reducing the number of hours of experience needed to qualify as a journeyman sprinkler fitter',)"
"('Relating to teacher salary enhancement',)"
"('Relating to PROMISE Scholarship Program requirements',)"
"('Allowing access to the Department of Environmental Protection’s electronic submission system',)"
"('Requiring the Department of Health and Human resources to pay the attorney fees of an adoptive parent in a subsidized adoption',)"
"('Repealing the West Virginia Jobs Act',)"
"('Prohibiting the regulation and licensing of occupations by local government',)"
"('Relating to mandatory drug testing of all classes of employees in K through 12 schools',)"
"('Education Savings Account Act',)"
"('Conforming the state Consumer Credit and Protection Act to the federal Fair Debt Collection and Practices Act',)"
"('Authorizing a special vehicle registration plate for “2nd Amendment” enthusiasts',)"
"('Relating to charging fees for municipal services',)"
"('Removing the requirement of continuing education for barbers and cosmetologists',)"
"('Exempting from licensure as an electrician a person who installs low voltage electrical wiring',)"
"('Repealing the law which makes prime contractors liable for the failure of subcontractors to make proper payments for workers’ compensation',)"
"('Relating to criminal trespass',)"
"('Relating to net metering',)"
"('Relating to the Public Service Commission',)"
"('Requiring contractors performing work for government contracts on computers use software to verify the hours',)"
"('Terminating the State Board of Registration of Foresters',)"
"('Restricting the authority of the Board of Barbers and Cosmetologists to regulate the use of commonly available, retail beauty products',)"
"('Requiring certain boards that seek to increase a fee or seek to impose a new fee to also submit cost saving measures',)"
"('Increasing the minimum criminal penalty for a driver who, in an impaired state, causes the death of a minor',)"
"('Establishing the Katherine Johnson Academy',)"
"('Requiring medical insurance providers to include infertility services in their policies',)"
"('Adding pasteurized milk and other dairy foods produced or processed in West Virginia to the list of items required to be purchased by all state-funded institutions',)"
"('Applying a stiffer penalty than simple assault or battery for assaults on officials at sporting events',)"
"('Require compensation for state police officers when required to be on standby so they can be called back to work if necessary',)"
"('Reducing federal adjusted gross income for interest paid on student loans',)"
"('Establishing and implementing a program to require bonding sufficient to reclaim abandoned wind generation facilities and solar generation facilities',)"
"('Require an emergency contact be placed on driver’s license',)"
"('Modify statute relating to Registered Veterinary Technicians',)"
