Bill_no.,Status,Doc_name,Doc _url
SB 458,Signed,Relating to possession of firearms by individuals during state of emergency,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB458 SUB1 ENR.pdf
SB 459,Signed,"(""Relating to return of member's paid contributions to heirs after member's death under certain circumstances"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB459 ENR.pdf
SB 460,Signed,Relating to Deputy Sheriff Retirement System Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB460 SUB1 ENR.pdf
SB 461,Pending,"Supplemental appropriation from State Fund, General Revenue, to Division of Emergency Management",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB461 INTR.pdf
SB 462,Pending,"Extending Neighborhood Investment Program Act until July 1, 2026",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB462 INTR.pdf
SB 463,Signed,Consolidating position of Inspector General of former Workers’ Compensation Fraud and Abuse Unit and position of Director of Insurance Fraud Unit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB463 ENR.pdf
SB 464,Signed,Requiring composting of organic materials and commercial composting products comply with WV Fertilizer Law,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB464 SUB2 ENR.pdf
SB 465,Pending,"Including correctional officers as law-enforcement within WV Fire, EMS, and Law-Enforcement Survivor Benefit Act",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB465 INTR.pdf
SB 466,Signed,Relating generally to appraisal management companies,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB466 SUB1 ENR.pdf
SB 467,Pending,Relating to WV Municipal Police Officers and Firefighters Retirement System,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB467 INTR.pdf
SB 468,Pending,"Supplemental appropriation from State Fund, General Revenue to Division of Forestry",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB468 INTR.pdf
SB 469,Signed,Permitting and establishing requirements for appearance by video for purpose of notarial acts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB469 SUB1 ENR.pdf
SB 470,Signed,Limiting release of certain personal information maintained by state agencies,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB470 SUB2 ENR.pdf
SB 471,Pending,Updating firefighter training requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB471 INTR.pdf
SB 472,Signed,Updating criteria for regulating certain occupations and professions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB472 SUB1 ENR.pdf
SB 473,Pending,Permitting primitive camping at state campgrounds,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB473 INTR.pdf
SB 474,Pending,Exempting DOH from Purchasing Division procedures,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB474 SUB1.pdf
SB 475,Pending,Dedicating certain fees collected by Division of Labor to General Revenue Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB475 SUB1.pdf
SB 476,Pending,Requiring hospitals to staff qualified personnel to perform sexual assault forensic exams,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB476 INTR.pdf
SB 477,Pending,"(""Creating WV Children's Vision Act"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB477 INTR.pdf
SB 478,Signed,Permitting use of established federal marketplace programs to purchase supplies,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB478 SUB1 enr.pdf
SB 479,Signed,Relating to WV veterans service decoration and WV Service Cross,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB479 SUB1 ENR.pdf
SB 480,Pending,Creating State Employment First Policy for wages of disabled persons,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB480 INTR.pdf
SB 481,Pending,Increasing penalty for impersonating law-enforcement officer or official,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB481 INTR.pdf
SB 482,Pending,Restricting participation in Teachers Retirement System by members who serve as officer in professional teaching association,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB482 INTR.pdf
SB 483,Signed,Allowing oaths be taken before any person authorized to administer oaths,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB483 SUB1 ENR.pdf
SB 484,Pending,Adding stalking to list of offenses for certain misconduct,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB484 INTR.pdf
SB 485,Pending,Relating to use or presentation of firearm during commission of felony,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB485 SUB1.pdf
SB 486,Signed,Relating to powers and duties of Chief Technology Officer,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB486 ENR.pdf
SB 487,Pending,Updating Division of Purchasing procurement and spending thresholds,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB487 SUB1.pdf
SB 488,Signed,"(""Relating to distributing hotel occupancy tax to convention and visitor's bureaus"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB488 ENR.pdf
SB 489,Pending,Returning refundable exemption for sales of construction materials by second party for DOH projects,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB489 SUB1.pdf
SB 490,Pending,Supplemental appropriation from General Revenue to Department of Veterans’ Assistance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB490 INTR.pdf
SB 491,Pending,Relating to interest rate in condemnation proceedings,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB491 INTR.pdf
SB 492,Signed,Establishing program for bonding to reclaim abandoned wind and solar generation facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB492 SUB1 ENR.pdf
SB 493,Pending,Issuing license suspensions to insurance producers and adjusters who fail to meet CE requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB493 SUB1.pdf
SB 494,Signed,Authorizing transfer of moneys from Insurance Commission Fund to Workers’ Compensation Old Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB494 ENR.pdf
SB 495,Pending,Providing criminal offense of sexual extortion and sexual extortion by person holding certain position over another,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB495 INTR.pdf
SB 496,Signed,Relating to punishment for second or third degree felony,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB496 ENR.pdf
SB 497,Pending,Increasing penalty for attempted murder in first degree,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB497 INTR.pdf
SB 498,Pending,"Amending definition of ""sexual contact""",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB498 SUB1.pdf
SB 499,Pending,Relating to parole eligibility for drug distribution offenses,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB499 INTR.pdf
SB 500,Pending,"Prohibiting intimidation and retaliation against public officers and employees, jurors, and witnesses",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB500 SUB1.pdf
SB 501,Pending,Continuing and indexing of license and stamp fees,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB501 INTR.pdf
SB 502,Signed,"Providing lifetime hunting, fishing, and trapping license to residents, adopted, and foster children under 15",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB502 SUB1 ENR.pdf
SB 503,Pending,Creating crime for being under influence of controlled substance unless specifically prescribed,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB503 INTR.pdf
SB 504,Pending,Relating to review of presidential executive orders by Legislature,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB504 INTR.pdf
SB 505,Pending,Establishing Office of Regulatory and Fiscal Affairs under Joint Committee on Government and Finance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB505 INTR.pdf
SB 506,Pending,Requiring certain persons who commit criminal offense while in juvenile custody not be held within sight or sound of adult inmates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB506 INTR.pdf
SB 507,Pending,Facilitating Business Rapid Response to State Declared Disasters Act of 2021,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB507 INTR.pdf
SB 508,Pending,Relating to public records management and preservation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB508 SUB1.pdf
SB 509,Pending,Removing requirement that determination of medical stability be found prior to admission to mental health facility,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB509 SUB1 ENG.pdf
SB 510,Pending,Extending Adopt-a-Trail programs for unimproved public roads,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB510 INTR.pdf
SB 511,Pending,Preventing compensatory damage awards for medical expenses under certain circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB511 INTR.pdf
SB 512,Pending,Relating to filing of asbestos and silica claims,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB512 INTR.pdf
SB 513,Pending,Relating generally to natural resources and modifying definitions of certain terms,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB513 INTR.pdf
SB 514,Signed,Providing criteria for Natural Resource Commission appointment and compensation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB514 SUB1 ENR.pdf
SB 515,Pending,Providing new graduates of in-state or out-of-state higher educational institution or trade school income tax modification for up to four years,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB515 INTR.pdf
SB 516,Pending,Relating to PEIA in-patient rates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB516 INTR.pdf
SB 517,Signed,Relating to sunset provisions of legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB517 SUB1 ENR.pdf
SB 518,Signed,"Relating to grounds for administrative dissolution of certain companies, corporations, and partnerships",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB518 SUB1 ENR.pdf
SB 519,Pending,Prohibiting political subdivisions from enacting means of regulating certain areas of employer-employee relationship and sale or marketing of consumer merchandise,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB519 INTR.pdf
SB 520,Pending,"Allowing foster parents to purchase lifetime hunting, trapping, and fishing licenses for foster children",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB520 INTR.pdf
SB 521,Signed,"Extending licensure renewal term of certain private investigators, security guards, and associated firms",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB521 ENR.pdf
SB 522,Pending,Supplemental appropriation from Treasury to Department of Commerce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB522 INTR.pdf
SB 523,Signed,Correcting improper code references,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB523 ENR.pdf
SB 524,Pending,Correcting amount of current 911 fee ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB524 INTR.pdf
SB 525,Pending,Establishing secondary location for racetrack video lottery terminals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB525 INTR.pdf
SB 526,Pending,Creating Uniform Worker Classification Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB526 INTR.pdf
SB 527,Pending,"Prohibiting political subdivisions from enacting certain ordinances, regulations, local policies, or other legal requirements",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB527 INTR.pdf
SB 528,Pending,Allowing counties to implement one percent consumers sales tax in certain circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB528 INTR.pdf
SB 529,Signed,Correcting improper citation relating to DMV registration,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB529 ENR.pdf
SB 530,Pending,"Establishing causes for revocation, cancellation, or suspension of business registration certificate",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB530 SUB1.pdf
SB 531,Pending,"Relating to incomplete, duplicative, or redundant claims for refund",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB531 INTR.pdf
SB 532,Signed,Limiting claims for state tax credits and rebates,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB532 enr.pdf
SB 533,Pending,Allowing limits of business and occupation taxes imposed on sale of automobiles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB533 INTR.pdf
SB 534,Signed,Permitting Economic Development Authority to make working capital loans from revolving loan fund capitalized with federal grant funds,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB534 SUB1 ENR.pdf
SB 535,Pending,Relating to rebuttable presumption for certain injuries and diseases from employment as firefighter,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB535 SUB1.pdf
SB 536,Pending,Supplemental appropriation of federal moneys to Workforce Investment Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB536 INTR.pdf
SB 537,Signed,Relating generally to kidnapping,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB537 enr.pdf
SB 538,Pending,Providing for unitization of interests in drilling units in connection with shallow horizontal oil or gas wells,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB538 INTR.pdf
SB 539,Pending,Removing tax exemption for aircraft sold in state that is removed within 60 days of purchase,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB539 INTR.pdf
SB 540,Pending,Supplemental appropriation from Treasury to PSC,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB540 INTR.pdf
SB 541,Pending,Supplemental appropriation from federal moneys to WV State Police,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB541 INTR.pdf
SB 542,Signed,Relating generally to public electric utilities and facilities fuel supply for existing coal-fired plants,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB542 SUB2 ENR.pdf
SB 543,Pending,Establishing Chuck Yeager Mountain State Medal of Excellence,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB543 SUB1.pdf
SB 544,Pending,"Expiring funds to State Board of Education, School Building Authority, School Construction Fund from School Building Authority, Debt Service Fund",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB544 INTR.pdf
SB 545,Pending,"Supplemental appropriation from federal funds to DHHR, Division of Human Services",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB545 INTR.pdf
SB 546,Pending,Expiring funds to balance of Department of Commerce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB546 INTR.pdf
SB 547,Pending,"Supplemental appropriation of federal funds to Department of Education, State Board of Education, State Department of Education",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB547 INTR.pdf
SB 548,Pending,"Supplemental appropriation from Treasury to DHHR, Division of Health, Laboratory Services Fund",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB548 INTR.pdf
SB 549,Pending,"Supplemental appropriation from Treasury to Department of Revenue, Insurance Commissioner",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB549 INTR.pdf
SB 550,Pending,Providing counties with authority to impose county sales and use tax of up to one percent under certain circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB550 SUB1.pdf
SB 551,Pending,"Revising forms of living will, medical power of attorney, and combined medical power of attorney and living will",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB551 SUB1.pdf
SB 552,Pending,"Supplemental appropriation of federal funds to DHHR, Division of Human Services",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB552 INTR.pdf
